epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1995,0.79974,2.88952,1.14957,0.49483,0.45586,0.48578,0.41363,0.78394,1.66231,1.12713,0.000172716,0.000172716,0.000172716
2,72.4003,0.7886,2.77672,1.12846,0.61298,0.50191,0.55239,0.46798,0.78563,1.58943,1.12009,0.000313593,0.000313593,0.000313593
3,91.6415,0.76257,2.56638,1.11608,0.57789,0.53942,0.54371,0.45471,0.78784,1.71751,1.11995,0.000419753,0.000419753,0.000419753
4,110.71,0.76462,2.38395,1.12101,0.60289,0.58624,0.61502,0.51758,0.7823,1.40631,1.11251,0.000369778,0.000369778,0.000369778
5,129.836,0.72384,2.16522,1.0865,0.7398,0.57139,0.65807,0.56137,0.74911,1.35573,1.07949,0.000317704,0.000317704,0.000317704
6,148.827,0.70246,2.00626,1.06406,0.64893,0.66254,0.66924,0.56635,0.73766,1.2527,1.07406,0.00026563,0.00026563,0.00026563
7,169.215,0.69583,1.85672,1.05596,0.75123,0.63766,0.70336,0.60166,0.71378,1.14186,1.06722,0.000213556,0.000213556,0.000213556
8,188.145,0.67157,1.75238,1.03595,0.7823,0.63544,0.72116,0.61953,0.71335,1.08576,1.05807,0.000161482,0.000161482,0.000161482
9,207.215,0.6399,1.68586,1.02628,0.8397,0.63156,0.73003,0.62872,0.69588,1.07063,1.04157,0.000109408,0.000109408,0.000109408
10,226.653,0.63019,1.58609,1.01744,0.80971,0.66199,0.74052,0.63897,0.69761,1.04577,1.04343,5.7334e-05,5.7334e-05,5.7334e-05
