epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0598,0.85988,4.02483,1.20083,0.31452,0.47461,0.41193,0.33717,0.77468,1.95652,1.12262,0.00017454,0.00017454,0.00017454
2,114.419,0.76123,2.75283,1.07432,0.64996,0.59229,0.65137,0.5346,0.76523,1.29967,1.07952,0.000315236,0.000315236,0.000315236
3,163.046,0.7122,2.0082,1.04522,0.78262,0.70682,0.77761,0.65012,0.72491,0.99658,1.05326,0.000421216,0.000421216,0.000421216
4,210.569,0.67842,1.52186,1.01647,0.84709,0.76223,0.83227,0.7103,0.66593,0.84087,1.01177,0.000369778,0.000369778,0.000369778
5,257.847,0.64545,1.23463,0.99413,0.92615,0.78139,0.88632,0.75274,0.66852,0.68098,1.00161,0.000317704,0.000317704,0.000317704
6,305.425,0.61029,1.01649,0.9708,0.92356,0.81795,0.89269,0.75691,0.64806,0.64293,0.98943,0.00026563,0.00026563,0.00026563
7,353.104,0.59264,0.88447,0.9578,0.9407,0.82527,0.90827,0.77538,0.61376,0.58284,0.97075,0.000213556,0.000213556,0.000213556
8,400.786,0.56369,0.79049,0.94234,0.933,0.84598,0.92725,0.79284,0.61025,0.54735,0.96941,0.000161482,0.000161482,0.000161482
9,448.189,0.54378,0.72167,0.93264,0.95798,0.85642,0.93452,0.80387,0.60184,0.50467,0.96439,0.000109408,0.000109408,0.000109408
10,496.04,0.52038,0.66967,0.91894,0.96659,0.86071,0.93903,0.81303,0.57984,0.48115,0.95207,5.7334e-05,5.7334e-05,5.7334e-05
